ingredient_id,ingredient_name,category,subcategory
110031,cottage,other,
108962,cottage cheese,dairy,
107836,cotton candy,sweetener,
109885,couscous,other,
109519,crab,other,
110033,crab cake,other,
109278,cracked pepper,other,
110034,cracker,other,
109420,crackers,nuts/seeds/grains,
108683,cracklings,fats/oils,
107971,cranberry,fruit,
110036,cranberry juice,other,
109126,cranberry sauce,fruit,
108063,crawfish,fortifier,
109228,cream,other,
108131,cream cheese,dairy,
109468,cream sauce,dairy,
109232,creamer,dairy,
111145,creamy avocado,other,
107993,crema,dairy,
110037,creme,other,
107997,creme fraiche,dairy,
110038,creole sauce,other,
110039,crimini,other,
107865,crimini mushroom,other,
110040,croissant,other,
110041,crostini,other,
110042,crouton,other,
110043,croutons,other,
110044,cruda,other,
111162,crunch,other,
111163,crunchy,other,
110046,crushed,other,
110047,crust,other,
110048,crème,other,
110049,cuban bread,other,
107838,cucumber,other,
108707,cultured,dairy,
108350,cultured butter,dairy,
109282,cumin,spice,
110050,curacao,other,
110051,curd,other,
110053,cured,other,
109398,cured ham,other,
108958,currant,fruit,
110054,curry,other,
109276,curry powder,other,
111182,curry sauce,other,
108973,curtido,other,
110055,custard,other,
110056,cutlet,other,
108990,dahi,dairy,
107885,daikon,other,
109307,dairy free,dairy,
111190,dal,other,
108492,dandelion,other,
109249,dark chocolate,sweetener,
107902,dashi,other,
107917,date syrup,sweetener,
107959,dates,fruit,
109543,deep fried,fats/oils,
108088,dehydrated,other,
107857,delicata squash,nuts/seeds/grains,
109577,delivery,other,
107920,demerara,sweetener,
110058,demi-glace,other,
108098,deviled,other,
110059,diet cola,other,
110060,dijon,other,
109478,dijon mustard,other,
109281,dill,other,
110061,dinner rolls,other,
108390,dipped in chocolate,other,
108351,dipping sauce,other,
110062,dirty chai,other,
110063,dirty soda,other,
109775,ditalini,other,
108685,diver scallop,other,
108970,dosa,nuts/seeds/grains,
109334,double chocolate,sweetener,
110445,double smoked bacon,other,
110065,dough,other,
107850,dragon fruit,fruit,
110066,dressing,other,
110067,dressings,other,
110068,dried,other,
109316,dried cranberry,fruit,
110069,drizzle,other,
111241,dubai chocolate,other,
108078,duck,fortifier,
108865,dukkah,nuts/seeds/grains,
108222,dulce de leche,sweetener,
110071,dumplings,other,
110072,dungeness,other,
108949,durian,fruit,
108314,durum,nuts/seeds/grains,
108812,earl grey,other,
108898,echinacea,other,
109066,edamame,nuts/seeds/grains,
108682,eel,other,
109525,egg,fortifier,
109610,egg white,fortifier,
109377,eggplant,other,
108272,elderberry,fruit,
108477,elderflower,other,
108292,electrolyte,fortifier,
108698,elk,other,
110074,elote,other,
110075,elotes,other,
109882,emmental,other,
110076,encebollado,other,
109210,encrusted,other,
108830,epazote,other,
110078,escabeche,other,
108526,escarole,other,
108636,espelette pepper,other,
108336,espresso,other,
110079,esquite,other,
110080,esquites,other,
108365,european style butter,dairy,
109649,evaporated milk,dairy,
110081,evoo,other,
109159,extra virgin,fats/oils,
109606,extra virgin olive oil,fats/oils,
108108,falafel,nuts/seeds/grains,
109778,farfalle,other,
108301,farm raised,other,
108120,farro,nuts/seeds/grains,
109614,fat free,fats/oils,
108493,fava bean,nuts/seeds/grains,
107881,fennel,vegetable,
108860,fenugreek,nuts/seeds/grains,
108089,fermented,other,
109640,feta,dairy,
109886,fettuccine,other,
111312,fiber,other,
108509,fiddlehead,other,
111315,fideo,other,
108322,fig,fruit,
110082,fig preserves,other,
110083,filet,other,
109181,filet mignon,other,
110084,filete,other,
110085,fillet,other,
110086,fillets,other,
110087,filling,other,
108960,finger limes,fruit,
110088,fingerling,other,
108820,fior di latte,dairy,
109213,fire roasted,not applicable,
900003,fish,seafood,
108679,fish head,other,
107906,fish sauce,other,
108248,five spice,other,
108100,flambeed,other,
110090,flank,other,
109174,flat iron steak,other,
110091,flatbread,other,
107961,flax,other,
108460,fleur de sel,other,
110093,flour,other,
111343,fluffy,other,
111344,foam,other,
108715,foamed,other,
109780,focaccia,other,
108091,fondue,other,
108924,fonio,nuts/seeds/grains,
109781,fontina,other,
110095,frappe,other,
109304,free range,other,
108721,freekeh,nuts/seeds/grains,
110096,french,other,
109601,french vanilla,sweetener,
109782,fresh mozzarella,other,
109589,fresh squeezed,fruit,
110097,fresno,other,
110098,fried calamari rings,other,
109096,fried mozzarella sticks,dairy,
108381,fried oreo,other,
110099,fried shrimp,other,
110100,fries,other,
110101,frites,other,
110102,frito,other,
110103,fritos,other,
110104,fritters,other,
109651,frosted,sweetener,
110105,frosting,other,
109442,frozen yogurt,dairy,
109414,fruit,fruit,
107823,fruit infused,fruit,
110106,fruit smoothie,other,
110107,fry,other,
109638,fudge,sweetener,
110108,funghi,other,
108242,furikake,nuts/seeds/grains,
109887,fusilli,other,
110109,gala,other,
108862,galangal,other,
110110,ganache,other,
108244,garam masala,other,
110111,garbanzo,other,
109783,garganelli,other,
109396,garlic,other,
110113,garlic aioli,other,
109643,garlic butter,fats/oils,
110114,garlic butter sauce,other,
109368,garlic salt,other,
110115,gelato,other,
109785,gemelli,other,
110116,genoa,other,
107980,ghee,fats/oils,
107988,ghost pepper,other,
107990,giardiniera,other,
108655,gigante bean,nuts/seeds/grains,
110117,gin,other,
107966,ginger,other,
109338,ginger snap,nuts/seeds/grains,
108252,ginseng,other,
110119,glaze,other,
110120,gluten,other,
109333,gluten free,nuts/seeds/grains,
109787,gnocchetti sardi,other,
108074,goat,fortifier,
108827,goat cheese,dairy,
108369,goat milk,dairy,
108857,gochugaru,other,
107908,gochujang,other,
108270,goji,fortifier,
107879,golden beet,vegetable,
108767,golden milk,other,
108316,golden raisin,fruit,
111451,gooey,other,
109788,gorgonzola,other,
109873,gouda,other,
110122,gouda cheese,other,
110123,graham,other,
108337,graham cracker,nuts/seeds/grains,
110125,grana,other,
109789,grana padano,other,
107967,granola,nuts/seeds/grains,
108588,grape,fruit,
111464,grape jelly,other,
110126,grape juice,other,
109388,grape tomato,fruit,
108343,grapefruit,fruit,
110127,grapefruit juice,other,
108371,grass fed,other,
